	GCF_000348565.1_7	GCF_000348565.1_8	GCF_001729265.1_10	GCF_001729265.1_9	    GCF_001729265.1_7	GCF_004153325.1_1	GCF_004153325.1_2	GCF_004153325.1_4
GCF_000348565.1_7   	1	1	1	0.9977	0.9932	0.5407	0.5407	0.5378
GCF_000348565.1_8	1	1	1	0.9977	0.9932	0.5407	0.5407	0.5378
GCF_001729265.1_10	1	1	1	0.9977	0.9932	0.5407	0.5407	0.5378
GCF_001729265.1_9	0.9977	0.9977	0.9977	1	0.9909	0.5407	0.5407	0.5378
GCF_001729265.1_7	0.9932	0.9932	0.9932	0.9909	1	0.5378	0.5378	0.5349
GCF_004153325.1_1	0.5407	0.5407	0.5407	0.5407	0.5378	1	0.9977	0.9954
GCF_004153325.1_2	0.5407	0.5407	0.5407	0.5407	0.5378	0.9977	1	0.9932
GCF_004153325.1_4	0.5378	0.5378	0.5378	0.5378	0.5349	0.9954	0.9932	1
